album_id,album_name,release_date,release_date_precision,total_tracks,album_type
3OQnAi9EjuGLW3AMJ2zOry,Pukar (Original Motion Picture Soundtrack),1999-11-29,day,6,album
15wpQtYDmZO2sFuKG5RUDM,Dil Hi Dil Mein (Original Motion Picture Soundtrack),1999-10-19,day,6,album
3bqIzWWbArrjJ963HKeZcd,Taal - Original Motion Picture Soundtrack,1999-08-13,day,12,album
0oq0AombofB0CYEvpUsIdH,1947: Earth,1999-07-24,day,9,album
3re1MZ8VdZpVD8QgUiRRle,Taalam (Original Motion Picture Soundtrack),1999-07-23,day,10,album
3adQUpBVaPf1JFOvSOBQk6,Jodi,1999-07-19,day,8,album
2pxH6q1Vc7L4iXh8UtwCYg,Doli Saja Ke Rakhna,1998-10-16,day,8,album
0k86Kvn1tWnPdBucZEfRhW,Uyire Instrumental (Original Motion Picture Soundtrack),1998-08-21,day,5,album
54NUwj7U1MOhA1ZGbnhiMz,Dil Se (Original Motion Picture Soundtrack),1998-07-08,day,6,album
7tJng3wvP3e4VXTadYCKYp,Jeans (Original Motion Picture Soundtrack),1998-06-27,day,6,album
5DcUVMWoylf2fKpVsqKWpA,Taj Mahal (Original Motion Picture Soundtrack),1998-05-18,day,10,album
4rK3bxZ8AHllG6RFF61tAv,Kabhi Na Kabhi,1998-04-17,day,6,album
3DyGSfAWdkNgUA5CbSWPel,Merupu Kalalu,1997-12-31,day,6,album
2O02t1W40XBCCnpml9rQWF,Ottam (Original Motion Picture Soundtrack),1997-11-18,day,7,album
7n2LnI7McP6J3Jsc9ZmFQe,Vishwa Vidhaata,1997-11-14,day,7,album
0CSrVRvvBlaRPRGZxTqJ1u,Ratchakan,1997-10-25,day,9,album
7zFbzmYGeZeIoplDTADF0Z,Vande Mataram,1997-09-26,day,7,album
2gig0rLYAwnQQVAGzpThrt,50-50 (Original Motion Picture Soundtrack),1997-07-09,day,8,album
3kSlPXyVJTzxDM5J7ywvGc,Daud - Original Motion Picture Soundtrack,1997-06-06,day,9,album
3L4DCa4N3wOJ34nVn8mIr6,Iruvar (Original Motion Picture Soundtrack),1997-01-14,day,8,album
0xTyeKjVLy5in9t548ofXR,Rakshakudu,1997-01-01,day,8,album
6NOtdTP8rlPNLhNSYlhtWf,Sapnay (Original Motion Picture Soundtrack),1997,year,7,album
5wbNqlJ4LukhEsQcqty9Po,Bharateeyudu,1996-12-31,day,5,album
3PxphLHk9HQDTTjhqM56sd,Mr. Romeo (Original Motion Picture Soundtrack),1996-11-18,day,6,album
6OnTABtMRNwPYDkyjG0hRD,Mr. Romeo (Original Motion Picture Soundtrack),1996-11-10,day,6,album
1H9JcYNduz68czDwpW1CBd,Hindustani (Jhankar; Original Motion Picture Soundtrack),1996-06-09,day,6,album
6aY47GXFNDi22HqiqSnwLy,Hindustani - Original Motion Picture Soundtrack,1996-06-04,day,6,album
4EHjLVh8VF0l3WtxDLwZDP,Manitha Manitha (Original Motion Picture Soundtrack),1996-03-12,day,6,album
6xLz3dYawMgC485WHbAC09,Chor Chor (Original Motion Picture Soundtrack),1995-12-31,day,8,album
692cnIPveSocx5vTn7O8Ct,Priyanka (Jhankar; Original Motion Picture Soundtrack),1995-11-11,day,8,album
187dpt2JTJRHEpTXQslbkL,Muthu (Original Motion Picture Soundtrack),1995-10-23,day,6,album
3DV3RVxKtcmTU7dLPfNJzv,Rangeli,1995-09-08,day,7,album
4Jb583r6KiOfGuhKgXT5UC,Rangeela (Original Motion Picture Soundtrack),1995-09-08,day,7,album
55kkprSML5QKdhpuMAkefP,Priyanka (Original Motion Picture Soundtrack),1995-05-27,day,8,album
4ejbQMeAknwJAl346hKxMN,Bombay (Original Motion Picture Soundtrack),1995-03-10,day,6,album
3IpHQbDLRRqd9sZQncIMD9,Hum Se Hai Muqabala - Kadalan - Original Motion Picture Soundtrack,1995-03-01,day,9,album
2rs4Iq5HpL7sdPk52Fa5gr,Hum Se Hai Muqabala - Kadalan (With Jhankar Beats) - Original Motion Picture Soundtrack,1995-03-01,day,9,album
48g3Sp71fD9mVZNd619VFf,Humse Hai Muqabala (Jhankar; Original Motion Picture Soundtrack),1994-11-14,day,9,album
2O0jYGXpC88mY5RFnGsV3p,Karuthamma (Original Motion Picture Soundtrack),1994-11-03,day,7,album
68k7QMGYN8eiEY1CAl5sEy,Premikudu,1994-09-17,day,9,album
